FD5, 361.00, 7.89, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$347, 290.94, 41.30, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$348, 287.74, 29.01, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$349, 310.87, 52.67, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$350, 300.64, 47.52, 330.00, 0603-1U-CAP, 0603
U$351, 323.10, 49.45, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$352, 298.62, 51.02, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$353, 302.46, 44.35, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$354, 306.32, 37.69, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$355, 310.15, 31.03, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$356, 305.60, 17.39, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$357, 324.35, 27.71, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$358, 314.00, 24.38, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$359, 315.02, 22.52, 330.00, 0603-1U-CAP, 0603
U$360, 317.82, 17.62, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$361, 275.36, 64.23, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$423, 102.97, 71.00, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$424, 106.81, 64.34, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$425, 110.66, 57.68, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$426, 106.82, 41.30, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$427, 103.63, 29.01, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$428, 126.76, 52.67, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$429, 116.53, 47.52, 330.00, 0603-1U-CAP, 0603
U$430, 138.99, 49.45, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$431, 114.50, 51.02, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$432, 118.34, 44.35, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$433, 122.20, 37.69, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$434, 126.04, 31.03, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$435, 121.49, 17.39, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$452, 140.23, 27.71, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$454, 263.65, 70.99, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$455, 259.80, 64.33, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$456, 255.96, 57.67, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$457, 239.86, 52.80, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$458, 227.61, 49.42, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$459, 259.67, 41.22, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$460, 250.09, 47.50, 30.00, 0603-1U-CAP, 0603
U$461, 263.00, 29.02, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$462, 252.11, 51.01, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$463, 248.25, 44.35, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$464, 244.42, 37.67, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$465, 240.56, 31.03, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$466, 226.48, 28.15, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$467, 244.79, 17.07, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$468, 236.73, 24.37, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$469, 235.74, 22.67, 30.00, 0603-1U-CAP, 0603
U$470, 129.89, 24.38, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$471, 251.92, 77.76, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$472, 130.86, 22.67, 330.00, 0603-1U-CAP, 0603
U$473, 91.24, 64.23, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$492, 79.53, 70.99, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$493, 75.69, 64.33, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$494, 71.84, 57.67, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$495, 55.74, 52.80, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$496, 43.50, 49.42, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$497, 75.56, 41.22, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$498, 65.98, 47.50, 30.00, 0603-1U-CAP, 0603
U$499, 78.88, 29.02, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
