U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$109, 170.91, 9.90, 180.00, 3512-LED, 3512-LED
U$1091, 109.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1092, 109.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1093, 100.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1095, 100.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1096, 100.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1097, 91.70, 38.40, 180.00, 0603-1U-CAP, 0603
U$1098, 91.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$110, 162.10, 11.40, 180.00, 0603-1U-CAP, 0603
U$1100, 91.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1101, 91.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1102, 82.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1104, 82.89, 43.10, 0.00, 3512-LED, 3512-LED
U$1105, 82.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1106, 74.10, 38.40, 180.00, 0603-1U-CAP, 0603
U$1107, 74.10, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1109, 74.09, 43.10, 0.00, 3512-LED, 3512-LED
U$111, 162.10, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1110, 74.11, 36.90, 180.00, 3512-LED, 3512-LED
U$1111, 65.30, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1113, 65.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1114, 65.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1115, 56.50, 38.40, 180.00, 0603-1U-CAP, 0603
U$1116, 56.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1118, 56.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1119, 56.51, 36.90, 180.00, 3512-LED, 3512-LED
U$1120, 47.70, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1122, 47.69, 43.10, 0.00, 3512-LED, 3512-LED
U$1123, 47.71, 36.90, 180.00, 3512-LED, 3512-LED
U$1124, 38.90, 38.40, 180.00, 0603-1U-CAP, 0603
U$1125, 38.90, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1127, 38.89, 43.10, 0.00, 3512-LED, 3512-LED
U$1128, 38.91, 36.90, 180.00, 3512-LED, 3512-LED
U$1129, 30.10, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$113, 162.09, 16.10, 0.00, 3512-LED, 3512-LED
U$1131, 30.09, 43.10, 0.00, 3512-LED, 3512-LED
U$1132, 30.11, 36.90, 180.00, 3512-LED, 3512-LED
U$1133, 21.30, 38.40, 180.00, 0603-1U-CAP, 0603
U$1134, 21.30, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1136, 21.29, 43.10, 0.00, 3512-LED, 3512-LED
U$1137, 21.31, 36.90, 180.00, 3512-LED, 3512-LED
U$1138, 12.50, 40.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$114, 162.11, 9.90, 180.00, 3512-LED, 3512-LED
U$1140, 12.49, 43.10, 0.00, 3512-LED, 3512-LED
U$1141, 12.51, 36.90, 180.00, 3512-LED, 3512-LED
U$115, 153.30, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$117, 153.29, 16.10, 0.00, 3512-LED, 3512-LED
U$118, 153.31, 9.90, 180.00, 3512-LED, 3512-LED
U$119, 144.50, 11.40, 180.00, 0603-1U-CAP, 0603
U$120, 144.50, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$122, 144.49, 16.10, 0.00, 3512-LED, 3512-LED
U$123, 144.51, 9.90, 180.00, 3512-LED, 3512-LED
U$124, 135.70, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$126, 135.69, 16.10, 0.00, 3512-LED, 3512-LED
U$127, 135.71, 9.90, 180.00, 3512-LED, 3512-LED
U$128, 126.90, 11.40, 180.00, 0603-1U-CAP, 0603
U$129, 126.90, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1305, 327.22, 49.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1306, 320.50, 47.40, 180.00, 0603-1U-CAP, 0603
U$1307, 320.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1309, 320.49, 52.10, 0.00, 3512-LED, 3512-LED
U$131, 126.89, 16.10, 0.00, 3512-LED, 3512-LED
U$1310, 320.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1311, 311.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1313, 311.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1314, 311.71, 45.90, 180.00, 3512-LED, 3512-LED
U$1315, 302.90, 47.40, 180.00, 0603-1U-CAP, 0603
U$1316, 302.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1318, 302.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1319, 302.91, 45.90, 180.00, 3512-LED, 3512-LED
U$132, 126.91, 9.90, 180.00, 3512-LED, 3512-LED
U$1320, 294.10, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1322, 294.09, 52.10, 0.00, 3512-LED, 3512-LED
U$1323, 294.11, 45.90, 180.00, 3512-LED, 3512-LED
U$1324, 285.30, 47.40, 180.00, 0603-1U-CAP, 0603
U$1325, 285.30, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1327, 285.29, 52.10, 0.00, 3512-LED, 3512-LED
U$1328, 285.31, 45.90, 180.00, 3512-LED, 3512-LED
U$1329, 276.50, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$133, 118.10, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1331, 276.49, 52.10, 0.00, 3512-LED, 3512-LED
U$1332, 276.51, 45.90, 180.00, 3512-LED, 3512-LED
U$1333, 267.70, 47.40, 180.00, 0603-1U-CAP, 0603
U$1334, 267.70, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1336, 267.69, 52.10, 0.00, 3512-LED, 3512-LED
U$1337, 267.71, 45.90, 180.00, 3512-LED, 3512-LED
U$1338, 258.90, 49.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1340, 258.89, 52.10, 0.00, 3512-LED, 3512-LED
U$1341, 258.91, 45.90, 180.00, 3512-LED, 3512-LED
U$1342, 250.10, 47.40, 180.00, 0603-1U-CAP, 0603
