U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1691, 206.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1693, 206.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1694, 206.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1695, 197.30, 56.40, 180.00, 0603-1U-CAP, 0603
U$1696, 197.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1698, 197.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1699, 197.31, 54.90, 180.00, 3512-LED, 3512-LED
U$17, 311.71, 9.90, 180.00, 3512-LED, 3512-LED
U$1700, 188.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1702, 188.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1703, 188.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1704, 179.70, 56.40, 180.00, 0603-1U-CAP, 0603
U$1705, 179.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1707, 179.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1708, 179.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1709, 170.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1711, 170.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1712, 170.91, 54.90, 180.00, 3512-LED, 3512-LED
U$1713, 162.10, 56.40, 180.00, 0603-1U-CAP, 0603
U$1714, 162.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1716, 162.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1717, 162.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1718, 153.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1720, 153.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1721, 153.31, 54.90, 180.00, 3512-LED, 3512-LED
U$1722, 144.50, 56.40, 180.00, 0603-1U-CAP, 0603
U$1723, 144.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1725, 144.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1726, 144.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1727, 135.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1729, 135.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1730, 135.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1731, 126.90, 56.40, 180.00, 0603-1U-CAP, 0603
U$1732, 126.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1734, 126.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1735, 126.91, 54.90, 180.00, 3512-LED, 3512-LED
U$1736, 118.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1738, 118.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1739, 118.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1740, 109.30, 56.40, 180.00, 0603-1U-CAP, 0603
U$1741, 109.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1743, 109.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1744, 109.31, 54.90, 180.00, 3512-LED, 3512-LED
U$1745, 100.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1747, 100.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1748, 100.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1749, 91.70, 56.40, 180.00, 0603-1U-CAP, 0603
U$1750, 91.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1752, 91.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1753, 91.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1754, 82.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1756, 82.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1757, 82.91, 54.90, 180.00, 3512-LED, 3512-LED
U$1758, 74.10, 56.40, 180.00, 0603-1U-CAP, 0603
U$1759, 74.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1761, 74.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1762, 74.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1763, 65.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1765, 65.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1766, 65.31, 54.90, 180.00, 3512-LED, 3512-LED
U$1767, 56.50, 56.40, 180.00, 0603-1U-CAP, 0603
U$1768, 56.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1770, 56.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1771, 56.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1772, 47.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1774, 47.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1775, 47.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1776, 38.90, 56.40, 180.00, 0603-1U-CAP, 0603
U$1777, 38.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1779, 38.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1780, 38.91, 54.90, 180.00, 3512-LED, 3512-LED
U$1781, 30.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1783, 30.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1784, 30.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1785, 21.30, 56.40, 180.00, 0603-1U-CAP, 0603
U$1786, 21.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1788, 21.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1789, 21.31, 54.90, 180.00, 3512-LED, 3512-LED
U$1790, 12.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1792, 12.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1793, 12.51, 54.90, 180.00, 3512-LED, 3512-LED
U$191, 56.50, 11.40, 180.00, 0603-1U-CAP, 0603
U$192, 56.50, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$194, 56.49, 16.10, 0.00, 3512-LED, 3512-LED
U$195, 56.51, 9.90, 180.00, 3512-LED, 3512-LED
U$1957, 327.22, 67.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1958, 320.50, 65.40, 180.00, 0603-1U-CAP, 0603
U$1959, 320.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$196, 47.70, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1961, 320.49, 70.10, 0.00, 3512-LED, 3512-LED
U$1962, 320.51, 63.90, 180.00, 3512-LED, 3512-LED
U$1963, 311.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1965, 311.69, 70.10, 0.00, 3512-LED, 3512-LED
U$1966, 311.71, 63.90, 180.00, 3512-LED, 3512-LED
U$1967, 302.90, 65.40, 180.00, 0603-1U-CAP, 0603
U$1968, 302.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1970, 302.89, 70.10, 0.00, 3512-LED, 3512-LED
U$1971, 302.91, 63.90, 180.00, 3512-LED, 3512-LED
U$1972, 294.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1974, 294.09, 70.10, 0.00, 3512-LED, 3512-LED
U$1975, 294.11, 63.90, 180.00, 3512-LED, 3512-LED
U$1976, 285.30, 65.40, 180.00, 0603-1U-CAP, 0603
U$1977, 285.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1979, 285.29, 70.10, 0.00, 3512-LED, 3512-LED
U$198, 47.69, 16.10, 0.00, 3512-LED, 3512-LED
U$1980, 285.31, 63.90, 180.00, 3512-LED, 3512-LED
U$1981, 276.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1983, 276.49, 70.10, 0.00, 3512-LED, 3512-LED
U$1984, 276.51, 63.90, 180.00, 3512-LED, 3512-LED
U$1985, 267.70, 65.40, 180.00, 0603-1U-CAP, 0603
U$1986, 267.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1988, 267.69, 70.10, 0.00, 3512-LED, 3512-LED
U$1989, 267.71, 63.90, 180.00, 3512-LED, 3512-LED
U$199, 47.71, 9.90, 180.00, 3512-LED, 3512-LED
U$1990, 258.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1992, 258.89, 70.10, 0.00, 3512-LED, 3512-LED
U$1993, 258.91, 63.90, 180.00, 3512-LED, 3512-LED
U$1994, 250.10, 65.40, 180.00, 0603-1U-CAP, 0603
U$1995, 250.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1997, 250.09, 70.10, 0.00, 3512-LED, 3512-LED
U$1998, 250.11, 63.90, 180.00, 3512-LED, 3512-LED
U$1999, 241.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2, 320.50, 11.40, 180.00, 0603-1U-CAP, 0603
U$200, 38.90, 11.40, 180.00, 0603-1U-CAP, 0603
U$2001, 241.29, 70.10, 0.00, 3512-LED, 3512-LED
U$2002, 241.31, 63.90, 180.00, 3512-LED, 3512-LED
U$2003, 232.50, 65.40, 180.00, 0603-1U-CAP, 0603
U$2004, 232.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2006, 232.49, 70.10, 0.00, 3512-LED, 3512-LED
U$2007, 232.51, 63.90, 180.00, 3512-LED, 3512-LED
U$2008, 223.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$201, 38.90, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2010, 223.69, 70.10, 0.00, 3512-LED, 3512-LED
U$2011, 223.71, 63.90, 180.00, 3512-LED, 3512-LED
U$2012, 214.90, 65.40, 180.00, 0603-1U-CAP, 0603
U$2013, 214.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2015, 214.89, 70.10, 0.00, 3512-LED, 3512-LED
U$2016, 214.91, 63.90, 180.00, 3512-LED, 3512-LED
U$2017, 206.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2019, 206.09, 70.10, 0.00, 3512-LED, 3512-LED
U$2020, 206.11, 63.90, 180.00, 3512-LED, 3512-LED
U$2021, 197.30, 65.40, 180.00, 0603-1U-CAP, 0603
U$2022, 197.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2024, 197.29, 70.10, 0.00, 3512-LED, 3512-LED
U$2025, 197.31, 63.90, 180.00, 3512-LED, 3512-LED
U$2026, 188.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2028, 188.49, 70.10, 0.00, 3512-LED, 3512-LED
U$2029, 188.51, 63.90, 180.00, 3512-LED, 3512-LED
U$203, 38.89, 16.10, 0.00, 3512-LED, 3512-LED
U$2030, 179.70, 65.40, 180.00, 0603-1U-CAP, 0603
U$2031, 179.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2033, 179.69, 70.10, 0.00, 3512-LED, 3512-LED
U$2034, 179.71, 63.90, 180.00, 3512-LED, 3512-LED
U$2035, 170.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2037, 170.89, 70.10, 0.00, 3512-LED, 3512-LED
U$2038, 170.91, 63.90, 180.00, 3512-LED, 3512-LED
U$2039, 162.10, 65.40, 180.00, 0603-1U-CAP, 0603
U$204, 38.91, 9.90, 180.00, 3512-LED, 3512-LED
U$2040, 162.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2042, 162.09, 70.10, 0.00, 3512-LED, 3512-LED
U$2043, 162.11, 63.90, 180.00, 3512-LED, 3512-LED
U$2044, 153.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2046, 153.29, 70.10, 0.00, 3512-LED, 3512-LED
U$2047, 153.31, 63.90, 180.00, 3512-LED, 3512-LED
U$2048, 144.50, 65.40, 180.00, 0603-1U-CAP, 0603
U$2049, 144.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$205, 30.10, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2051, 144.49, 70.10, 0.00, 3512-LED, 3512-LED
U$2052, 144.51, 63.90, 180.00, 3512-LED, 3512-LED
U$2053, 135.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2055, 135.69, 70.10, 0.00, 3512-LED, 3512-LED
U$2056, 135.71, 63.90, 180.00, 3512-LED, 3512-LED
U$2057, 126.90, 65.40, 180.00, 0603-1U-CAP, 0603
U$2058, 126.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2060, 126.89, 70.10, 0.00, 3512-LED, 3512-LED
U$2061, 126.91, 63.90, 180.00, 3512-LED, 3512-LED
U$2062, 118.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2064, 118.09, 70.10, 0.00, 3512-LED, 3512-LED
U$2065, 118.11, 63.90, 180.00, 3512-LED, 3512-LED
U$2066, 109.30, 65.40, 180.00, 0603-1U-CAP, 0603
U$2067, 109.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2069, 109.29, 70.10, 0.00, 3512-LED, 3512-LED
U$207, 30.09, 16.10, 0.00, 3512-LED, 3512-LED
U$2070, 109.31, 63.90, 180.00, 3512-LED, 3512-LED
U$2071, 100.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2073, 100.49, 70.10, 0.00, 3512-LED, 3512-LED
U$2074, 100.51, 63.90, 180.00, 3512-LED, 3512-LED
U$2075, 91.70, 65.40, 180.00, 0603-1U-CAP, 0603
U$2076, 91.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2078, 91.69, 70.10, 0.00, 3512-LED, 3512-LED
U$2079, 91.71, 63.90, 180.00, 3512-LED, 3512-LED
U$208, 30.11, 9.90, 180.00, 3512-LED, 3512-LED
U$2080, 82.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2082, 82.89, 70.10, 0.00, 3512-LED, 3512-LED
U$2083, 82.91, 63.90, 180.00, 3512-LED, 3512-LED
U$2084, 74.10, 65.40, 180.00, 0603-1U-CAP, 0603
U$2085, 74.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2087, 74.09, 70.10, 0.00, 3512-LED, 3512-LED
U$2088, 74.11, 63.90, 180.00, 3512-LED, 3512-LED
U$2089, 65.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$209, 21.30, 11.40, 180.00, 0603-1U-CAP, 0603
U$2091, 65.29, 70.10, 0.00, 3512-LED, 3512-LED
U$2092, 65.31, 63.90, 180.00, 3512-LED, 3512-LED
U$2093, 56.50, 65.40, 180.00, 0603-1U-CAP, 0603
U$2094, 56.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2096, 56.49, 70.10, 0.00, 3512-LED, 3512-LED
U$2097, 56.51, 63.90, 180.00, 3512-LED, 3512-LED
U$2098, 47.70, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$210, 21.30, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2100, 47.69, 70.10, 0.00, 3512-LED, 3512-LED
U$2101, 47.71, 63.90, 180.00, 3512-LED, 3512-LED
U$2102, 38.90, 65.40, 180.00, 0603-1U-CAP, 0603
U$2103, 38.90, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2105, 38.89, 70.10, 0.00, 3512-LED, 3512-LED
U$2106, 38.91, 63.90, 180.00, 3512-LED, 3512-LED
U$2107, 30.10, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2109, 30.09, 70.10, 0.00, 3512-LED, 3512-LED
U$2110, 30.11, 63.90, 180.00, 3512-LED, 3512-LED
U$2111, 21.30, 65.40, 180.00, 0603-1U-CAP, 0603
U$2112, 21.30, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2114, 21.29, 70.10, 0.00, 3512-LED, 3512-LED
U$2115, 21.31, 63.90, 180.00, 3512-LED, 3512-LED
U$2116, 12.50, 67.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2118, 12.49, 70.10, 0.00, 3512-LED, 3512-LED
U$2119, 12.51, 63.90, 180.00, 3512-LED, 3512-LED
U$212, 21.29, 16.10, 0.00, 3512-LED, 3512-LED
U$213, 21.31, 9.90, 180.00, 3512-LED, 3512-LED
U$214, 12.50, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$216, 12.49, 16.10, 0.00, 3512-LED, 3512-LED
U$217, 12.51, 9.90, 180.00, 3512-LED, 3512-LED
U$2283, 327.22, 76.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$2284, 320.50, 74.40, 180.00, 0603-1U-CAP, 0603
U$2285, 320.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2287, 320.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2288, 320.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2289, 311.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2291, 311.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2292, 311.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2293, 302.90, 74.40, 180.00, 0603-1U-CAP, 0603
U$2294, 302.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2296, 302.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2297, 302.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2298, 294.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$23, 302.90, 11.40, 180.00, 0603-1U-CAP, 0603
U$2300, 294.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2301, 294.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2302, 285.30, 74.40, 180.00, 0603-1U-CAP, 0603
U$2303, 285.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2305, 285.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2306, 285.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2307, 276.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2309, 276.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2310, 276.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2311, 267.70, 74.40, 180.00, 0603-1U-CAP, 0603
U$2312, 267.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2314, 267.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2315, 267.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2316, 258.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2318, 258.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2319, 258.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2320, 250.10, 74.40, 180.00, 0603-1U-CAP, 0603
U$2321, 250.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2323, 250.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2324, 250.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2325, 241.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2327, 241.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2328, 241.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2329, 232.50, 74.40, 180.00, 0603-1U-CAP, 0603
U$2330, 232.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2332, 232.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2333, 232.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2334, 223.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2336, 223.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2337, 223.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2338, 214.90, 74.40, 180.00, 0603-1U-CAP, 0603
U$2339, 214.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2341, 214.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2342, 214.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2343, 206.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2345, 206.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2346, 206.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2347, 197.30, 74.40, 180.00, 0603-1U-CAP, 0603
U$2348, 197.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2350, 197.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2351, 197.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2352, 188.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2354, 188.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2355, 188.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2356, 179.70, 74.40, 180.00, 0603-1U-CAP, 0603
U$2357, 179.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2359, 179.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2360, 179.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2361, 170.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2363, 170.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2364, 170.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2365, 162.10, 74.40, 180.00, 0603-1U-CAP, 0603
U$2366, 162.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2368, 162.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2369, 162.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2370, 153.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2372, 153.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2373, 153.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2374, 144.50, 74.40, 180.00, 0603-1U-CAP, 0603
U$2375, 144.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2377, 144.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2378, 144.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2379, 135.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2381, 135.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2382, 135.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2383, 126.90, 74.40, 180.00, 0603-1U-CAP, 0603
U$2384, 126.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2386, 126.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2387, 126.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2388, 118.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2390, 118.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2391, 118.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2392, 109.30, 74.40, 180.00, 0603-1U-CAP, 0603
U$2393, 109.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2395, 109.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2396, 109.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2397, 100.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2399, 100.49, 79.10, 0.00, 3512-LED, 3512-LED
U$24, 302.90, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2400, 100.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2401, 91.70, 74.40, 180.00, 0603-1U-CAP, 0603
U$2402, 91.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2404, 91.69, 79.10, 0.00, 3512-LED, 3512-LED
U$2405, 91.71, 72.90, 180.00, 3512-LED, 3512-LED
U$2406, 82.90, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2408, 82.89, 79.10, 0.00, 3512-LED, 3512-LED
U$2409, 82.91, 72.90, 180.00, 3512-LED, 3512-LED
U$2410, 74.10, 74.40, 180.00, 0603-1U-CAP, 0603
U$2411, 74.10, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2413, 74.09, 79.10, 0.00, 3512-LED, 3512-LED
U$2414, 74.11, 72.90, 180.00, 3512-LED, 3512-LED
U$2415, 65.30, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2417, 65.29, 79.10, 0.00, 3512-LED, 3512-LED
U$2418, 65.31, 72.90, 180.00, 3512-LED, 3512-LED
U$2419, 56.50, 74.40, 180.00, 0603-1U-CAP, 0603
U$2420, 56.50, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$2422, 56.49, 79.10, 0.00, 3512-LED, 3512-LED
U$2423, 56.51, 72.90, 180.00, 3512-LED, 3512-LED
U$2424, 47.70, 76.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
