FD5, 360.68, 144.43, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$132, 13.14, 108.79, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$133, 6.32, 112.73, 15.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$14, 48.63, 23.21, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$15, 67.27, 29.10, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$152, 60.84, 89.14, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$153, 60.84, 97.01, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$154, 60.84, 104.86, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$155, 67.24, 110.37, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$156, 73.06, 116.24, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$157, 54.42, 110.37, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$158, 60.84, 109.69, 0.00, 0603-1U-CAP, 0603
U$159, 48.60, 116.27, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$16, 73.09, 23.21, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$160, 60.84, 112.74, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$161, 60.84, 120.61, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$162, 60.84, 128.46, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$163, 67.24, 133.39, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$164, 73.06, 139.28, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$165, 54.42, 133.39, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$166, 48.60, 139.28, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$167, 60.84, 133.52, 0.00, 0603-1U-CAP, 0603
U$168, 60.84, 136.33, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$169, 60.84, 144.21, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$17, 60.84, 28.97, 180.00, 0603-1U-CAP, 0603
U$18, 60.84, 26.16, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$188, 67.68, 85.19, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$189, 74.50, 89.13, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$19, 60.84, 18.28, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
