FD1, 4.45, 11.07, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
U$111, 60.84, 65.48, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$112, 60.84, 57.63, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$113, 54.44, 52.12, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$114, 48.63, 46.25, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$115, 67.27, 52.12, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$116, 60.84, 69.54, 0.00, 0603-1U-CAP, 0603
U$117, 73.09, 46.22, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$118, 60.84, 49.75, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$119, 60.84, 41.88, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$120, 60.84, 34.03, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$121, 54.44, 29.10, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$122, 48.63, 23.21, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$123, 67.27, 29.10, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$124, 73.09, 23.21, 270.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$125, 60.84, 45.95, 0.00, 0603-1U-CAP, 0603
U$126, 60.84, 26.16, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$127, 60.84, 18.28, 315.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$134, 54.01, 85.19, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$135, 47.19, 89.13, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$136, 40.39, 93.05, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$137, 38.82, 101.35, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$138, 36.64, 109.32, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$139, 32.40, 90.24, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$140, 50.71, 87.10, 120.00, 0603-1U-CAP, 0603
U$141, 24.39, 88.15, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$142, 33.57, 96.99, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$143, 26.75, 100.93, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$144, 19.95, 104.85, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$145, 18.89, 112.86, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$146, 16.69, 120.84, 120.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$147, 12.47, 101.75, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$148, 4.46, 99.66, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$149, 30.27, 98.89, 120.00, 0603-1U-CAP, 0603
U$150, 13.14, 108.79, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$151, 6.32, 112.73, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$170, 60.84, 89.14, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$171, 60.84, 97.01, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$172, 60.84, 104.86, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$173, 67.24, 110.37, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$174, 73.06, 116.24, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$175, 54.42, 110.37, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$176, 60.84, 92.95, 180.00, 0603-1U-CAP, 0603
U$177, 48.60, 116.27, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$178, 60.84, 112.74, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$179, 60.84, 120.61, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$180, 60.84, 128.46, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$181, 67.24, 133.39, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$182, 73.06, 139.28, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$183, 54.42, 133.39, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$184, 48.60, 139.28, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$185, 60.84, 116.54, 180.00, 0603-1U-CAP, 0603
U$186, 60.84, 136.33, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$187, 60.84, 144.21, 135.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$206, 67.68, 85.19, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$207, 74.50, 89.13, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
