C2A1, 23.63, 97.40, 90.00, 22u, 0603
U$298, 150.58, 118.31, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$299, 144.82, 162.34, 330.00, 0603-1U-CAP, 0603
U$3, 81.75, 98.50, 45.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$300, 142.72, 108.70, 90.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$301, 127.20, 131.81, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$302, 133.32, 142.42, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$303, 139.57, 153.25, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$304, 154.44, 156.50, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$305, 169.77, 160.06, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$306, 134.95, 167.75, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$307, 130.37, 182.81, 330.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$309, 146.45, 165.15, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$310, 153.32, 177.06, 285.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$326, 125.57, 129.00, 330.00, 0603-1U-CAP, 0603
U$365, 101.48, 109.73, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$366, 94.86, 121.20, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$367, 99.48, 133.69, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$368, 103.71, 145.37, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$369, 107.94, 157.05, 210.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$370, 112.11, 145.31, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$371, 71.11, 162.34, 30.00, 0603-1U-CAP, 0603
U$372, 116.51, 133.70, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$373, 88.73, 131.81, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$374, 82.61, 142.42, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$375, 76.36, 153.25, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$376, 80.98, 167.75, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$377, 85.56, 182.81, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$378, 61.49, 156.50, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$379, 46.16, 160.06, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$381, 69.48, 165.15, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$382, 62.61, 177.06, 345.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$398, 90.36, 129.00, 30.00, 0603-1U-CAP, 0603
U$4, 73.25, 108.75, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$5, 65.25, 118.25, 0.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$59, 101.48, 87.27, 105.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
